#/                             text-els=200  overCanvas=66  
#/artists                      text-els=1207 overCanvas=37  
#/artist/leonardo-da-vinci     text-els=152  overCanvas=80  
#/artist/frida-kahlo           text-els=149  overCanvas=77  
#/artwork/david                text-els=63   overCanvas=44  
#/explore                      text-els=44   overCanvas=26  
#/timeline                     text-els=331  overCanvas=55  
#/influences                   text-els=240  overCanvas=33  
#/museums                      text-els=342  overCanvas=28  
#/museum/louvre                text-els=91   overCanvas=52  
#/museum/tate-britain          text-els=62   overCanvas=39  
#/museum/k20-dusseldorf        text-els=56   overCanvas=39  
#/lists                        text-els=64   overCanvas=26  
#/palette                      text-els=29   overCanvas=27  
#/taste                        text-els=29   overCanvas=27  
#/daily                        text-els=54   overCanvas=51  
#/privacy                      text-els=52   overCanvas=50  
#/credits                      text-els=563  overCanvas=561 
#/no-such-page                 text-els=29   overCanvas=27  

DISTINCT (ink x size x weight) PAINTING OVER #bg-canvas — dark
ink                    px   wt floor  count  selectors                                  routes
[216, 210, 196]      12.5  300 4.5      604  a,p.img-credit.index-credit,p.img-credit.m 19 routes  bg-alpha 0.60
[216, 210, 196]      13.8  500 4.5      140  a                                          19 routes  backdrop-filter,bg-alpha 0.78
[216, 210, 196]      15.2  300 4.5      111  a.cr-what,li,span.cr-what                  3 routes  -
[236, 230, 217]      12.5  400 4.5       44  a.chip,a.chip.a,a.chip.e,a.chip.m,a.chip.n 9 routes  bg-alpha 0.02
[236, 230, 217]      15.2  300 4.5       28  a                                          1 routes  -
[216, 210, 196]      15.5  300 4.5       25  a,p,p.aw-empty,p.aw-provenance,p.img-credi 3 routes  -
[236, 230, 217]      23.2  600 4.5       24  h2.sec-title                               7 routes  -
[216, 210, 196]      12.2  400 4.5       21  button.tl2-leg                             2 routes  -
[216, 210, 196]      12.2  300 4.5       20  p.footer-note                              19 routes  bg-alpha 0.60
[236, 230, 217]      23.2  800 3.0       19  span.brand-text                            19 routes  backdrop-filter,bg-alpha 0.78
[216, 210, 196]       9.3  400 4.5       19  span.brand-sub                             19 routes  backdrop-filter,bg-alpha 0.78
[216, 210, 196]      14.7  300 4.5       19  div.footer-brand                           19 routes  bg-alpha 0.60
[236, 230, 217]      14.7  400 4.5       19  strong                                     19 routes  bg-alpha 0.60
