d0  #/                               bands=8  els=144  canvas=34   cover=7   worstFail -  [50s]
d0  #/artists                        bands=5  els=87   canvas=21   cover=14  worstFail -  [70s]
d0  #/artist/leonardo-da-vinci       bands=6  els=118  canvas=66   cover=11  worstFail -  [103s]
d0  #/artwork/david                  bands=4  els=97   canvas=48   cover=0   worstFail -  [120s]
d0  #/explore                        bands=3  els=63   canvas=19   cover=0   worstFail -  [131s]
d0  #/timeline                       bands=3  els=74   canvas=49   cover=0   worstFail 1.09  [142s]
d0  #/influences                     bands=3  els=92   canvas=45   cover=0   worstFail 1.26  [155s]
d0  #/daily                          bands=3  els=71   canvas=41   cover=0   worstFail -  [167s]
d0  #/lists                          bands=4  els=51   canvas=12   cover=0   worstFail -  [190s]
d0  #/list/impossible-dinner-party   bands=2  els=37   canvas=35   cover=0   worstFail -  [199s]
d0  #/palette                        bands=2  els=37   canvas=33   cover=0   worstFail -  [208s]
d0  #/taste                          bands=2  els=37   canvas=28   cover=0   worstFail -  [217s]
d0  #/museums                        bands=4  els=53   canvas=15   cover=0   worstFail -  [239s]
