d0  #/                               bands=8  els=144  canvas=47   cover=7   worstFail -  [51s]
d0  #/artists                        bands=5  els=87   canvas=22   cover=14  worstFail -  [72s]
d0  #/artist/leonardo-da-vinci       bands=6  els=118  canvas=69   cover=11  worstFail -  [105s]
d0  #/artwork/david                  bands=4  els=97   canvas=49   cover=0   worstFail -  [123s]
d0  #/explore                        bands=3  els=63   canvas=23   cover=0   worstFail -  [135s]
d0  #/timeline                       bands=3  els=74   canvas=56   cover=0   worstFail -  [146s]
d0  #/influences                     bands=3  els=92   canvas=43   cover=0   worstFail 1.27  [158s]
d0  #/daily                          bands=3  els=71   canvas=60   cover=0   worstFail 1.07  [172s]
d0  #/lists                          bands=4  els=51   canvas=12   cover=0   worstFail -  [195s]
d0  #/list/impossible-dinner-party   bands=2  els=37   canvas=35   cover=0   worstFail -  [205s]
d0  #/palette                        bands=2  els=37   canvas=30   cover=0   worstFail -  [213s]
d0  #/taste                          bands=2  els=37   canvas=28   cover=0   worstFail -  [223s]
d0  #/museums                        bands=4  els=53   canvas=15   cover=0   worstFail -  [244s]
