rows(all)=15894 clean=15341 fullyOccluded=553

DISTINCT TRIPLES (ink,size,backdrop-CLASS): 328 ; below floor: 6

| theme | ink | size/wt | backdrop class | worst | floor | rows | routes | example |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| dark | `#9b937f` | 10.5/300 | opaque | **1.04** | 4.5 | 109 | 1 | `text` |
| dark | `#000000` | 13.0/300 | opaque | **1.21** | 4.5 | 74 | 1 | `text.md-flag` |
| light | `#585244` | 10.5/300 | opaque | **1.27** | 4.5 | 109 | 1 | `text` |
| light | `#81632b` | 32.0/800 | cover | 3.58 | 3.0 | 1 | 1 | `h1.home-title` |
| dark | `#8b8372` | 11.2/300 | opaque | **3.77** | 4.5 | 2 | 1 | `div.tl2-year.t` |
| light | `#706755` | 11.2/300 | opaque | **3.78** | 4.5 | 2 | 1 | `div.tl2-year.t` |
| light | `#585244` | 13.1/300 | #bg-canvas | **4.35** | 4.5 | 18 | 1 | `div.le-meta` |
| light | `#81632b` | 59.2/800 | cover | 4.52 | 3.0 | 1 | 1 | `h1.home-title` |
| light | `#171307` | 12.5/500 | opaque | 4.63 | 4.5 | 12 | 5 | `button.f-btn.on` |
| dark | `#ca6478` | 12.5/500 | opaque | 4.69 | 4.5 | 5 | 1 | `b.ig-rel.e-rivaled` |
| dark | `#9b937f` | 12.5/300 | opaque | 4.90 | 4.5 | 6 | 1 | `span` |
| light | `#476a98` | 9.9/300 | opaque | 5.14 | 4.5 | 3 | 1 | `div.ec-kicker` |
| light | `#476a98` | 21.6/300 | opaque | 5.14 | 4.5 | 3 | 1 | `span.ec-arrow` |
| dark | `#0d0c0a` | 10.9/500 | opaque | 5.15 | 4.5 | 18 | 1 | `span` |
| dark | `#9b937f` | 15.2/300 | opaque | 5.15 | 4.5 | 2 | 1 | `div.mu-sub` |
| light | `#0d0c0a` | 10.9/500 | opaque | 5.15 | 4.5 | 18 | 1 | `span` |
| light | `#b43e56` | 12.5/500 | opaque | 5.17 | 4.5 | 5 | 1 | `b.ig-rel.e-rivaled` |
| light | `#6b5122` | 18.9/300 | opaque | 5.17 | 4.5 | 2 | 1 | `div.mu-hook` |
| light | `#2b7368` | 9.9/300 | opaque | 5.18 | 4.5 | 4 | 2 | `div.ec-kicker` |
| light | `#2b7368` | 21.6/300 | opaque | 5.18 | 4.5 | 4 | 2 | `span.ec-arrow` |
| light | `#2b7368` | 9.3/500 | opaque | 5.18 | 4.5 | 2 | 1 | `span.badge-soon` |
| light | `#2b7368` | 12.5/500 | opaque | 5.18 | 4.5 | 5 | 1 | `b.ig-rel.e-influenced` |
| light | `#a05141` | 9.9/300 | opaque | 5.19 | 4.5 | 4 | 2 | `div.ec-kicker` |
| light | `#a05141` | 21.6/300 | opaque | 5.19 | 4.5 | 5 | 2 | `span.ec-arrow` |
| light | `#544019` | 12.5/700 | opaque | 5.24 | 4.5 | 20 | 10 | `a.active` |
| light | `#000000` | 13.0/300 | opaque | 5.25 | 4.5 | 74 | 1 | `text.md-flag` |
| light | `#585244` | 12.5/300 | opaque | 5.26 | 4.5 | 6 | 1 | `span` |
