rows loaded: 15341
cells: dark@390, dark@1440, light@390, light@1440
routes: 33

distinct triples: 828   below floor: 62

| theme | ink | size | measured backdrop | worst | floor | n | routes | example selector |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| dark | `#9b937f` | 10.5px/300 | opaque #65a298 | **1.04** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #68a89e | **1.12** | 4.5 | 1 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #c19845 | **1.14** | 4.5 | 1 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #6baca1 | **1.17** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #6cafa3 | **1.21** | 4.5 | 2 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #1d1a13 | **1.21** | 4.5 | 2 | 1 | `text.md-flag` |
| dark | `#9b937f` | 10.5px/300 | opaque #6fb3a8 | **1.26** | 4.5 | 26 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #544019 | **1.27** | 4.5 | 2 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #252017 | **1.30** | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #262116 | **1.31** | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#585244` | 10.5px/300 | opaque #2c7064 | **1.33** | 4.5 | 1 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #2b7368 | **1.39** | 4.5 | 30 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #98b6d7 | **1.46** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #ccb179 | **1.47** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #517e75 | **1.50** | 4.5 | 1 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #7e6e4c | **1.63** | 4.5 | 1 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #d9bc81 | **1.67** | 4.5 | 2 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #3f8075 | **1.68** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #7a6a4a | **1.72** | 4.5 | 2 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #473a23 | **1.90** | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#9b937f` | 10.5px/300 | opaque #6c6359 | **1.93** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #716344 | **1.93** | 4.5 | 1 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #716244 | **1.95** | 4.5 | 2 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #518a7f | **1.96** | 4.5 | 1 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #8d7f62 | **1.98** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #43645b | **2.14** | 4.5 | 11 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #42635b | **2.17** | 4.5 | 6 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #416159 | **2.23** | 4.5 | 3 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #534528 | **2.25** | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#9b937f` | 10.5px/300 | opaque #406057 | **2.27** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #406058 | **2.27** | 4.5 | 3 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #405f57 | **2.30** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #3f5e55 | **2.34** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #3d5951 | **2.50** | 4.5 | 2 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #70483c | **2.56** | 4.5 | 3 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #5d4e2e | **2.59** | 4.5 | 3 | 1 | `text.md-flag` |
| light | `#585244` | 10.5px/300 | opaque #6f9e94 | **2.59** | 4.5 | 1 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #5f4f2e | **2.64** | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#585244` | 10.5px/300 | opaque #9f988a | **2.71** | 4.5 | 2 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #615130 | **2.73** | 4.5 | 19 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #61512f | **2.73** | 4.5 | 2 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #625130 | **2.74** | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #625230 | **2.77** | 4.5 | 5 | 1 | `text.md-flag` |
| light | `#585244` | 10.5px/300 | opaque #a69a82 | **2.80** | 4.5 | 1 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #a79b83 | **2.83** | 4.5 | 1 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #665432 | **2.88** | 4.5 | 22 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #665431 | **2.88** | 4.5 | 5 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #675533 | **2.92** | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#585244` | 10.5px/300 | opaque #aa9e87 | **2.94** | 4.5 | 1 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #b1a690 | **3.23** | 4.5 | 2 | 1 | `text` |
| dark | `#000000` | 13.0px/300 | opaque #715d36 | **3.32** | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#585244` | 10.5px/300 | opaque #cca396 | **3.42** | 4.5 | 4 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #92b4a9 | **3.45** | 4.5 | 6 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #cca497 | **3.45** | 4.5 | 2 | 1 | `text` |
| light | `#585244` | 10.5px/300 | opaque #cda497 | **3.46** | 4.5 | 5 | 1 | `text` |
